title,content,label
"Clip: Thấy con chó lao thẳng vào xe máy SH, tài xế gặp họa vì ""trở tay không kịp""","['Hình ảnh vụ tai nạn được chia sẻ trên nhóm Facebook về giao thông cho thấy, sau tai nạn, tài xế xe máy SH có thể ngồi dậy và may mắn không va chạm với phương tiện nào khác. Trong khi đó, con chó gây tai nạn bỏ chạy.', 'Từ vụ tai nạn trên, trao đổi với PV về quy định xử lý hành vi thả rông động vật gây tai nạn giao thông, luật sư Lê Văn Kiên (Trưởng Văn phòng luật sư Ánh sáng công lý) cho biết: Việc xử lý hành vi thả rông vật nuôi được quy định tại Nghị định 144/2021/NĐ-CP (Nghị định quy định xử phạt vi phạm hành chính trong lĩnh vực an ninh, trật tự, an toàn xã hội; phòng, chống tệ nạn xã hội; phòng cháy, chữa cháy; cứu nạn, cứu hộ; phòng, chống bạo lực gia đình).', 'Theo Nghị định 144/2021/NĐ-CP quy định, chủ vật nuôi sẽ bị phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng về hành vi “Để động vật nuôi gây thương tích hoặc gây thiệt hại tài sản cho tổ chức, cá nhân khác nhưng không bị truy cứu trách nhiệm hình sự”.', 'Với hành vi “Để vật nuôi xâm lấn lòng đường, vỉa hè, vườn hoa, sân chơi, đô thị, nơi sinh hoạt chung trong khu dân cư, khu đô thị"", chủ vật nuôi sẽ bị xử phạt từ 300.000 đồng đến 500.000 đồng theo Nghị định 144/2021/NĐ-CP.', '“Trong trường hợp súc vật thả rông gây ra vụ tai nạn dẫn tới thiệt hại về sức khỏe và tài sản cho các nạn nhân thì chủ sở hữu vật nuôi còn phải bồi thường thiệt hại do súc vật gây ra theo Điều 602, Bộ luật Dân sự năm 2015.', 'Cụ thể, luật quy định, “người chiếm hữu, sử dụng súc vật phải bồi thường thiệt hại trong thời gian chiếm hữu, sử dụng súc vật, trừ trường hợp có thỏa thuận khác” – luật sư Kiên nói.', 'Nguồn: https://www.nguoiduatin.vn/clip-thay-con-cho-lao-thang-vao-xe-may-sh-tai-xe-gap-hoa-vi-34-tro-ta...']",giaothong
"Đau đầu với 650 chiếc xe máy ""bỏ quên"" tại nhà xe sân bay Tân Sơn Nhất","['Hàng trăm xe máy để tại tầng 3-5 của Nhà để xe TCP (khu vực nhà ga quốc nội sân bay Tân Sơn Nhất) đã nhiều năm nhưng không có ai đến nhận.', 'Trao đổi với PLO, lãnh đạo nhà xe TCP cho biết, kể từ khi hoạt động (năm 2016) đến nay có hàng trăm xe máy “bỏ quên” tại đây, cá biệt có nhiều chiếc bị lãng quên 7 năm.', '“Sau khi kiểm đếm, lọc lại, hiện có khoảng 650 chiếc ""lãng quên"" trên 30 ngày đến vài năm chưa có ai đến nhận"", vị lãnh đạo nhà để xe thông tin.', 'Hơn 650 chiếc xe máy, đủ các chủng loại được sắp xếp tại khu vực xe quá hạn. Ảnh: P.ĐIỀN', 'Đại diện nhà xe TCP cho biết, sau khi kiểm đếm, để đảm bảo an toàn cháy nổ, vệ sinh môi trường khu vực gửi xe, đơn vị này đã rút xăng, di chuyển về khu vực xe quá hạn từ tầng 3-5 của nhà xe để bảo quản.', 'Số lượng xe gồm nhiều chủng loại, từ xe tay ga, xe số; biển gồm nhiều tỉnh thành, một số xe vẫn còn mới, tuy nhiên phần lớn do nằm bãi lâu năm nên xe bị hư hỏng, lốp hết hơi, động cơ hoen rỉ.', 'Để đảm bảo an toàn cháy nổ, số xe ""bỏ quên"" xếp khu vực riêng, xăng được rút khỏi bình. Ảnh: P.ĐIỀN', 'Đại diện nhà xe này cũng cho biết, do số xe bị “lãng quên” chiếm diện tích rất lớn, hàng tuần nhân viên nhà để xe phải dọn dẹp vệ sinh. Dù đơn vị này rất nóng lòng, muốn chủ xe đến giải tỏa số xe bị ""lãng quên"", để còn chỗ trống phục vụ nhu cầu gửi xe của hành khách tăng cao nhưng không thể liên lạc được với chủ xe.', 'Thời gian nằm bãi quá lâu, xe hư hỏng, xuống cấp. Ảnh: P.ĐIỀN', 'Bên cạnh đó, đơn vị này đã nhiều lần gửi văn bản kiến nghị cơ quan chức năng của TP.HCM hướng xử lý, tuy nhiên đến nay vẫn chưa có hướng dẫn cụ thể.', 'Một số khách gửi xe từng xe tại đây cho biết với cách tích lũy kế thời gian gửi càng lâu, phí gửi xe tăng cao, thậm chí vượt quá trị giá chiếc xe nên chủ xe bỏ luôn.', 'Một số khách do công việc gia đình, về quê lâu ngày khi quay lại hết hồn với phí gửi xe nhưng do phương tiện là vật kỉ niệm đành móc hầu bao để nhận xe về.', 'Trước đây, từng ghi nhận một ô tô xe hạng sang Lexus bỏ quên tại nhà để xe TCP nhiều tháng.', 'Nhà để xe TCP, có tổng diện tích xây dựng gần 67.000 m2, gồm một tầng hầm, một tầng lửng, năm tầng nổi và một tầng mái. Nhà xe này có sức chứa gần 6.000 xe máy và khoảng 1.500 ô tô.', 'Nguồn: https://plo.vn/dau-dau-voi-650-chiec-xe-may-bo-quen-tai-nha-xe-san-bay-tan-son-nhat-post750545.h...']",giaothong
"Ngông nghênh đi lên Vành đai 2 trên cao, cả loạt xe máy bị CSGT xử phạt","['Tuyến Vành đai 2 trên, đoạn lối xuống đường Trường Chinh (quận Đống Đa, Hà Nội) vào giờ cao điểm hằng ngày luôn trong tình trạng ken đặc người và xe do lưu lượng phương tiện rất lớn. Điều đó dẫn tới việc một bộ phận người đi xe máy, xe ba gác với tâm lý ""khôn lỏi"" đã cố tình di chuyển lên đường Vành đai 2 trên cao bất chấp biển báo cấm cũng như nguy cơ về việc có thể xảy ra tai nạn giao thông đối với các xe ô tô trên tuyến đường này. ', 'Thói đi ẩu của người điều khiển xe máy lặp đi lặp lại, theo đám đông, đến mức trở thành thói quen mỗi ngày, nhiều người xem đó là chuyện bình thường và vô tư tái phạm ngày này qua tháng khác.', 'Không khó để bắt gặp hình ảnh này.', 'Ghi nhận phản ánh về sự bức xúc trước hành vi vi phạm luật giao thông trên, Đội CSGT số 3 triển khai lực lượng lập chốt xử lý tại lối xuống Vành đai 2 trên cao, đoạn Ngã Tư Sở (hướng cầu Vĩnh Tuy đi Ngã Tư Sở). Chỉ trong khoảng thời gian ngắn, có rất đông người vi phạm đã bị phát hiện, dừng xe lập biên bản.', 'Đơn cử như trường hợp anh H.V.D. (SN 1982) cố tình đi lên đường Vành đai 2 trên cao và khi bị CSGT xử lý đã đưa ra lời giải thích cho hành vi vi phạm là do tuyến đường từ cầu Vĩnh Tuy đi Ngã Tư Sở bị ùn ứ kéo dài nên anh đã chọn cách di chuyển ""liều mạng"" như vậy.', 'Hay như trường hợp anh N.S.T. (SN 1987) khi bị CSGT xử lý biện minh rằng sáng nay đón người thân đi nhập học mà đường bị tắc quá nên mới cố tình đi vào. Anh T. cũng cho biết thêm, nhận được phiếu phạt lần này anh sẽ rút kinh nghiệm và cam kết không tái phạm.', 'CSGT lập biên bản xử lý các trường hợp vi phạm 500 nghìn đồng và tước giấy phép lái xe 2 tháng.', 'Theo Đội CSGT số 3, người dân cần phải lưu ý rằng, tuyến Vành đai 2 trên cao chỉ dành cho ô tô và cấm xe máy, xe mô tô, xe đạp, người đi bộ nên việc các phương tiện này đi lên đường là rất nguy hiểm, tiềm ẩn nguy cơ xảy ra tai nạn giao thông. Thời gian qua, mặc dù lực lượng CSGT vẫn liên tục xử lý nhưng cũng gặp không ít khó khăn, người vi phạm bất chấp nguy hiểm để né tránh. Tuy nhiên, đơn vị sẽ duy trì việc vừa tuyên truyền, vừa xử lý để người dân chấp hành.', 'Nguồn: https://cand.com.vn/Giao-thong/ngong-nghenh-di-len-vanh-dai-2-tren-cao-ca-loat-xe-may-bi-csgt-xu-phat-i706402/']",giaothong
"Xe tải bị lật nghiêng sau tai nạn trên cao tốc, tài xế tử vong","['Hiện trường vụ tai nạn.', 'Chiều 8/9, đại diện Trung tâm điều hành cao tốc Nội Bài – Lào Cai (VEC) cho biết, vào khoảng 6h cùng ngày, tài xế điều khiển xe tải mang biển số Hà Nội lưu thông trên cao tốc Nội Bài – Lào Cai.', 'Khi đi đến km10+500 thuộc TP Phúc Yên (Vĩnh Phúc), chiếc xe bị mất lái dẫn đến đâm vào hộ lan tôn sóng rồi bị lật.', 'Vụ tai nạn khiến tài xế bị thương rất nặng. Tuy nhiên, khi xe cứu thương tới nạn nhân đã không qua khỏi. Tại hiện trường, chiếc xe tải bị lật nghiêng, móp méo phần đầu, đường cao tốc bị hư hỏng tôn sóng.', 'Nhận được thông tin, lực lượng chức năng đã có mặt tại hiện trường để giải quyết vụ tai nạn.', 'Nguồn: https://vietnamdaily.trithuccuocsong.vn/doi-song-24h/xe-tai-bi-lat-nghieng-sau-tai-nan-tren-cao-...']",giaothong
"Clip: Phóng xe máy như bay lao vào đầu ô tô, đôi nam nữ nằm gục","['Hình ảnh vụ tai nạn hôm 5/9 được chia sẻ trên nhóm Facebook về giao thông cho thấy, sau tai nạn, đôi nam nữ đi xe máy văng về phía trước nằm gục trên vỉa hè và có dấu hiệu bị thương nặng vùng mặt. Người dân sau đó giúp đưa 2 người gặp nạn đi cấp cứu bằng xe taxi.', 'Hình ảnh vụ tai nạn thu hút nhiều bình luận từ người dùng Facebook, trong đó, phần lớn các ý kiến bày tỏ sợ hãi với cảnh phóng nhanh, không chú ý quan sát và làm chủ tốc độ của tài xế xe máy.', 'Từ vụ tai nạn trên, trao đổi với PV về quy định lưu thông tại nơi đường giao nhau và quy định xử lý các hành vi không chú ý quan sát, chạy quá tốc độ, luật sư Trần Tuấn Anh (Giám đốc Công ty luật Minh Bạch) cho biết: Quy tắc nhường đường tại nơi giao nhau được Luật Giao thông đường bộ quy định tại điều 24. Cụ thể, khi đến gần đường giao nhau, người điều khiển phương tiện phải cho xe giảm tốc độ và nhường đường theo quy định sau đây:', 'Tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến, phải nhường đường cho xe đi đến từ bên phải;', 'Tại nơi đường giao nhau có báo hiệu đi theo vòng xuyến, phải nhường đường cho xe đi bên trái; Tại nơi đường giao nhau giữa đường không ưu tiên và đường ưu tiên hoặc giữa đường nhánh và đường chính thì xe đi từ đường không ưu tiên hoặc đường nhánh phải nhường đường cho xe đi trên đường ưu tiên hoặc đường chính từ bất kỳ hướng nào tới.', '“Như vậy, luật đã quy định, khi tới đường giao nhau, trước tiên các tài xế phải chủ động cho xe giảm tốc độ sau đó thực hiện nhường đường theo quy định”, luật sư Trần Tuấn Anh nói.', 'Về xử lý vi phạm, Giám đốc luật Minh Bạch cho biết: Nghị định 100/2019/NĐ-CP (Nghị định quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt), sửa đổi bổ sung bởi Nghị định 123/2021/NĐ-CP quy định, tài xế điều khiển xe máy sẽ bị phạt tiền từ 100.000 đồng đến 200.000 đồng về hành vi điều khiển xe mô tô, xe gắn máy không tuân thủ các quy định về nhường đường tại nơi đường giao nhau.', 'Về quy định xử lý hành vi chạy quá tốc độ, Nghị định quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định, người điều khiển xe mô tô, xe gắn máy sẽ bị xử phạt từ 200.000 - 300.000 đồng về hành vi chạy quá tốc độ quy định từ 05 km/h đến dưới 10 km/h. Mức phạt tăng lên 800.000 -1.000.000 đồng với hành vi điều khiển xe chạy quá tốc độ quy định từ 10 km/h đến 20 km/h.', '“Trong trường hợp bị xác định có hành vi vi phạm “không chú ý quan sát, điều khiển xe chạy quá tốc độ quy định gây tai nạn giao thông"", người điều khiển xe máy sẽ bị xử phạt từ 4.000.000 - 5.000.000 đồng, tước quyền sử dụng Giấy phép lái xe từ 2 tháng đến 4 tháng” – luật sư Tuấn Anh nói.', 'Nguồn: https://www.nguoiduatin.vn/clip-phong-xe-may-nhu-bay-lao-vao-au-o-to-oi-nam-nu-nam-guc-a625193.h...']",giaothong
"Bị nhắc nhở, người đàn ông ở Đà Nẵng bất ngờ hành hung CSGT","['Ngày 7-9, Công an quận Ngũ Hành Sơn (TP Đà Nẵng) đang củng cố hồ sơ, xử lý 2 đối tượng chống người thi hành công vụ, đánh CSGT.', 'Lực lượng CSGT Đà Nẵng tuần tra, thực hiện chuyên đề xử lý vi phạm nồng độ cồn', 'Trước đó, tối 4-9, tổ công tác Đội CSGT - Trật tự Công an quận Ngũ Hành Sơn phối hợp với lực lượng Công an thành phố, tuần tra kiểm soát trên đường Võ Nguyên Giáp.', 'Khi đến địa bàn phường Khuê Mỹ (quận Ngũ Hành Sơn), tổ tuần tra phát hiện 2 người đàn ông  là V.V.Th. (33 tuổi, ngụ phường Nại Hiên Đông) và V.V.L. (38 tuổi, ngụ phường Mân Thái, cùng quận Sơn Trà, TP Đà Nẵng) có biểu hiệu say xỉn.', 'Hai người này liên tục to tiếng, cự cãi nhau giữa phố.', 'Lúc này, một cán bộ thuộc Đội CSGT - trật tự Công an quận Ngũ Hành Sơn tiếp cận, tiến hành nhắc nhở, yêu cầu cả hai không gây mất an ninh trật tự.', 'Tuy nhiên, 1 trong 2 người đã giở thói côn đồ, dùng mũ bảo hiểm đánh vào đầu cán bộ CSGT.', 'Lập tức, lực lượng tuần tra khống chế, đưa cả hai về trụ sở Công an phường Khuê Mỹ để làm việc.', 'Tại đây, cả hai khai nhận tên họ. Đồng thời, V.V.Th thừa nhận mình là người đã dùng mũ bảo hiểm để hành hung cán bộ CSGT.', 'Nguồn: https://nld.com.vn/phap-luat/bi-nhac-nho-nguoi-dan-ong-o-da-nang-bat-ngo-hanh-hung-csgt-20230907...']",giaothong
"TP.HCM: Sau tiếng gào thét ""chạy đi”, xe tải tông hàng loạt xe máy ở Gò Vấp","['Hiện trường vụ tai nạn', 'Đến 14h20 chiều 7/9, Công an quận Gò Vấp, TP.HCM vẫn đang giải quyết hiện trường vụ tai nạn giao thông giữa xe tải và nhiều xe máy trên đường Phan Văn Trị khiến nhiều người bị thương.', 'Trước đó, khoảng 13h cùng ngày, xe tải lưu thông trên đường Phan Văn Trị hướng từ đường Nguyễn Oanh về đường Thống Nhất. Khi đến trước số 7 Phan Văn Trị (đối diện cà phê Du Miên, thuộc phường 10, quận Gò Vấp) thì bất ngờ lao qua hướng ngược lại tông vào nhiều xe máy.', '“Nhiều người đi trên đường gào thét, hô hoán “chạy đi” khi thấy xe tải từ bên đường lao sang. Hàng loạt xe máy bị tông khiến nhiều người bị thương. Có người hoảng sợ lao xe máy vào lề đường để tránh xe tải”, nam nhân chứng tên Hoàng Nam kể.', 'Hàng loạt xe máy bị xe tải tông khiến 3 người bị thương', 'Xe máy bị hư hỏng sau tai nạn', 'Tai nạn khiến 3 người bị thương, được đưa đi cấp cứu. Tại hiện trường, nhiều xe máy nằm ngổn ngang trên đường, hư hỏng. Vụ việc còn khiến giao thông qua khu vực ùn tắc.', 'Lực lượng chức năng địa phương cùng công an quận Gò Vấp có mặt phong tỏa hiện trường để khám nghiệm, điều tra nguyên nhân.', 'Nguồn: https://www.nguoiduatin.vn/tp-hcm-sau-tieng-gao-thet-chay-i-xe-tai-tong-hang-loat-xe-may-o-go-va...']",giaothong
"Cầu Vĩnh Tuy: Hai chiều cầu hai kiểu tổ chức giao thông, phương tiện lúng túng khi lưu thông","['Theo phương án tổ chức giao thông của Sở GTVT Hà Nội phục vụ cầu Vĩnh Tuy mở rộng thông xe, ô tô được cắm biển lưu thông tối đa 60 km/h, xe máy 40 km/h.', 'Tuy nhiên, ở phía cầu cũ (giai đoạn 1), mặt cầu có chung kết cấu, chiều rộng mặt đường như nhau nhưng biển báo lại quy định, ô tô chỉ được lưu thông với tốc độ tối đa 40 km/h, xe máy 30km/h.', 'Cầu Vĩnh Tuy được mở rộng gấp đôi, hai chiều đường có kết cấu, mặt cắt và mật độ phương tiện như nhau lại đang có 2 cách cắm biển báo, tổ chức giao thông khác đang khiến dư luận và người tham gia giao thông khó hiểu.', 'Cùng với đó, ở chiều cầu mới, làn ô tô và xe máy đều có dải phân cách cứng để tách biệt, tránh gây xung đột, tai nạn giao thông...', 'Nhưng với cầu cũ không có dải phân cách cứng chia tách làn ô tô, xe máy như cầu mới.', 'Do không có dải phân cách cứng tách dòng xe máy như chiều cầu mới, xe máy hiện đang đi lộn xộn, lấn sang cả làn ô tô.', 'Hơn nữa, hiện làn cầu cũ đã tổ chức giao thông 1 chiều cho xe từ Long Biên sang, nhưng hiện nay, ở giữa cầu và làn xe ở hai bên cánh gà cầu vẫn để vạch liền rất bất hợp lý, gây khó khăn cho phương tiện lưu thông.', 'Việc xóa các vạch liền ở giữa cầu và bên phía trái cầu rất đơn giản, chỉ 1 đêm là xong, nhưng hiện nay cầu Vĩnh Tuy 2 đã thông xe được 10 ngày, các đơn vị có trách nhiệm về tổ chức giao thông và duy tu, sửa chữa cầu Vĩnh Tuy vẫn chưa làm việc này.', 'Do ở giữa cầu có vạch liền kép và bên trái cầu cũng có vạch liền (trước đó dành cho xe máy) nên khi ùn tắc phương tiện không dám đè vạch để chuyển sang làn thông thoáng hơn.', 'Phương án tổ chức giao thông chưa phù hợp với thực trạng cầu Vĩnh Tuy mới và sự chậm trễ trễ điều chỉnh lại các biển báo, vạch kẻ sơn trên cầu Vĩnh Tuy cũ (giai đoạn 1) đang khiến cầu Vĩnh Tuy được hoàn thiện cả hai giai đoạn chưa phát huy hết hiệu quả đầu tư cũng như mang lại sự thuận tiện nhất cho phương tiện tham gia giao thông.', 'Nguồn: https://tienphong.vn/cau-vinh-tuy-hai-chieu-cau-hai-kieu-to-chuc-giao-thong-phuong-tien-lung-tun...']",giaothong
Quốc hội sẽ khảo sát thực tế tại dự án hồ thủy lợi Ka Pét,"['Liên quan đến dự án xây dựng hồ thủy lợi Ka Pét trên hơn 600 ha đất rừng tại tỉnh Bình Thuận, chiều 6-9, bà Nguyễn Thị Lệ Thủy, Phó Chủ nhiệm Ủy ban Khoa học, Công nghệ và Môi trường của Quốc hội (QH), đã có những trao đổi với Pháp Luật TP.HCM về dự án này.', 'Quy trình thẩm tra dự án đúng quy định', 'Bà Thủy khẳng định, quy trình thẩm tra dự án hồ chứa nước Ka Pét được thực hiện rất chặt chẽ, đúng quy định pháp luật. Theo đó, vào tháng 5-2019, tại kỳ họp thứ tám QH khóa XIV, QH đã thông qua chủ trương đầu tư dự án hồ chứa nước Ka Pét tại huyện Hàm Thuận Nam, Bình Thuận.', 'Theo bà Thủy, quá trình thẩm tra hồ sơ trình của Chính phủ, Ủy ban Khoa học, Công nghệ và Môi trường của QH nhận thấy Chính phủ đã thực hiện hồ sơ rất chặt chẽ và đúng theo các quy định pháp luật. Theo đó, Chính phủ đảm bảo tính chính xác về các số liệu cũng như đầy đủ thành phần hồ sơ, các bước thẩm tra để trình hồ sơ.', 'Đoàn khảo sát thực địa của Sở NN&PTNT tỉnh Bình Thuận ngày 6-9. Ảnh: VÕ TÙNG', 'Mặt khác, trước khi trình, Chính phủ cũng có hội đồng thẩm định chặt chẽ và tỉnh Bình Thuận đã thuê đơn vị chuyên môn khảo sát, đánh giá, thống kê rừng theo quy định. Khi thẩm tra, Ủy ban Khoa học, Công nghệ và Môi trường thẩm tra trên hồ sơ Chính phủ trình. Do đó, Chính phủ sẽ chịu trách nhiệm về các số liệu trong dự án. Trước đó, Ủy ban Khoa học, Công nghệ và Môi trường của QH từng cùng với một số nhà khoa học vào Bình Thuận khảo sát một điểm tại dự án.', '“Về nguyên tắc, QH không chịu trách nhiệm về vấn đề này mà chỉ giám sát, thẩm tra trên hồ sơ, số liệu Chính phủ trình. Chính phủ phải chịu trách nhiệm về vấn đề này” - bà Thủy nói.', 'Liên quan đến các thông tin dư luận và phản ánh của các cơ quan báo chí, phó chủ nhiệm Ủy ban Khoa học, Công nghệ và Môi trường của QH khẳng định: “Chắc chắn chúng tôi sẽ có buổi khảo sát thực tế tại dự án”.', 'Quá trình điều chỉnh chủ trương dự án', 'Vào tháng 5-2023, Ủy ban Khoa học, Công nghệ và Môi trường của QH đã có báo cáo thẩm tra liên quan đến dự án này. Theo đó, trong hai ngày 7 và 8-3, Thường trực Ủy ban Khoa học, Công nghệ và Môi trường của QH đã tổ chức khảo sát thực tế tình hình triển khai thực hiện dự án này.', 'Sau đó, cơ quan này đã tổ chức phiên họp thẩm tra sơ bộ dự án. Ngày 15-3-2023, tại phiên họp lần thứ 21, Ủy ban Thường vụ QH đã cho ý kiến về dự án. Trên cơ sở kết luận của Ủy ban Thường vụ QH về điều chỉnh chủ trương đầu tư dự án, Chính phủ đã chỉ đạo Bộ KH&ĐT phối hợp với UBND tỉnh Bình Thuận giải trình, tiếp thu làm rõ một số nội dung trong dự án.', 'Ngày 10-5-2023, Ủy ban Khoa học, Công nghệ và Môi trường đã tổ chức phiên họp toàn thể ủy ban để thẩm tra chính thức dự án. Trên cơ sở báo cáo tham gia thẩm tra của Thường trực Hội đồng Dân tộc, các ủy ban của QH, ý kiến tại phiên họp, Ủy ban Khoa học, Công nghệ và Môi trường đã có báo cáo thẩm tra về việc điều chỉnh chủ trương đầu tư dự án.', 'Trong các nội dung điều chỉnh, diện tích sử dụng đất của dự án lên gần 698 ha (tăng gần 4,5 ha so với phê duyệt ban đầu). Trong đó, đất có rừng khoảng 620 ha, gồm đất rừng đặc dụng, đất rừng phòng hộ, đất rừng sản xuất, đất nằm ngoài quy hoạch ba loại rừng.', 'Cũng theo báo cáo, đã có 77 lượt đại biểu QH góp ý tại tổ và 11 lượt ý kiến góp ý tại hội trường về điều chỉnh chủ trương đầu tư dự án này. Sau đó, dự án hồ chứa nước Ka Pét đã được QH biểu quyết thông qua việc điều chỉnh chủ trương đầu tư dự án tại Nghị quyết 101/2023, thời gian hoàn thành dự án là cuối năm 2025.', 'Nguồn: https://plo.vn/quoc-hoi-se-khao-sat-thuc-te-tai-du-an-ho-thuy-loi-ka-pet-post750265.html']",giaothong
"Clip: Tông cực mạnh ô tô tải chạy ""bất ổn”, xe container gặp nạn đáng sợ","['Hình ảnh vụ tai nạn được thành viên nhóm Facebook về giao thông chia sẻ cho thấy, sau va chạm cực mạnh, ô tô tải bị văng về trước trong khi xe đầu kéo container lật nhào trên đường.', 'Đoạn clip thu hút hàng chục bình luận từ người dùng Facebook, trong đó phần lớn các ý kiến đánh giá, lái xe ô tô tải di chuyển nhập làn thiếu an toàn, không giảm tốc độ chú ý quan sát khi di chuyển ở đoạn đường giao nhau.', 'Từ vụ tai nạn trên, trao đổi với PV về quy tắc di chuyển ở nơi đường giao nhau, luật sư Trần Tuấn Anh (Giám đốc Công ty luật Minh Bạch) cho biết: Luật Giao thông đường bộ có quy định rõ, khi đến gần đường giao nhau, người điều khiển phương tiện phải cho xe giảm tốc độ và nhường đường theo quy định.', '“Về quy tắc nhường đường, Luật giao thông đường bộ quy định, tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến, phải nhường đường cho xe đi đến từ bên phải; Tại nơi đường giao nhau giữa đường không ưu tiên và đường ưu tiên hoặc giữa đường nhánh và đường chính thì xe đi từ đường không ưu tiên hoặc đường nhánh phải nhường đường cho xe đi trên đường ưu tiên hoặc đường chính từ bất kỳ hướng nào tới.', 'Trong trường hợp di chuyển vào cao tốc, Luật giao thông đường bộ cũng có quy định, khi vào đường cao tốc phải có tín hiệu xin vào và phải nhường đường cho xe đang chạy trên đường, khi thấy an toàn mới cho xe nhập vào dòng xe ở làn đường sát mép ngoài, nếu có làn đường tăng tốc thì phải cho xe chạy trên làn đường đó trước khi vào làn đường của đường cao tốc” – luật sư Tuấn Anh nói.', 'Về xử lý vi phạm, luật sư Trần Tuấn Anh cho biết: Theo Nghị định 100/2019/NĐ-CP (Nghị định quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt), sửa đổi bổ sung bởi Nghị định 123/2021/NĐ-CP quy định, tài xế điều khiển ô tô sẽ bị xử phạt từ 400.000 đồng đến 600.000 đồng trong trường hợp người điều khiển ô tô được xác định mắc lỗi “không tuân thủ các quy định về nhường đường tại nơi đường bộ giao nhau”. Thực hiện hành vi vi phạm trên nếu gây tai nạn giao thông thì bị tước quyền sử dụng Giấy phép lái xe từ 2 tháng đến 4 tháng.', '“ Trong trường hợp có hành vi vi phạm “không tuân thủ các quy định khi vào hoặc ra đường cao tốc”, tài xế điều khiển ô tô sẽ bị phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng, tước quyền sử dụng Giấy phép lái xe từ 01 tháng đến 03 tháng”, luật sư Tuấn Anh cho biết.', 'Nguồn: https://www.nguoiduatin.vn/clip-tong-cuc-manh-o-to-tai-chay-bat-on-xe-container-gap-nan-ang-so-a...']",giaothong
